행정구역,생활밀접업종,22-1개업수,22-1폐업수,22-1개업률,22-1폐업률,22-2개업수,22-2폐업수,22-2개업률,22-2폐업률,22-3개업수,22-3폐업수,22-3개업률,22-3폐업률,22-4개업수,22-4폐업수,22-4개업률,22-4폐업률,23-1개업수,23-1폐업수,23-1개업률,23-1폐업률
청운효자동,제과점,3,0,13,0,0,0,0,0,0,2,0,9.5,0,2,0,10.5,1,0,5,0
사직동,제과점,1,0,3.1,0,0,0,0,0,1,1,3.1,3.1,0,0,0,0,0,0,0,0
삼청동,제과점,0,0,0,0,0,1,0,7.1,1,2,7.7,15.4,2,0,13.3,0,0,0,0,0
부암동,제과점,1,0,14.3,0,0,0,0,0,1,0,12.5,0,0,0,0,0,0,1,0,14.3
평창동,제과점,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0
무악동,제과점,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0
교남동,제과점,0,0,0,0,0,0,0,0,0,2,0,18.2,1,0,8.3,0,0,1,0,9.1
가회동,제과점,3,0,16.7,0,1,0,5.3,0,1,0,5,0,0,1,0,5.3,0,0,0,0
종로1·2·3·4가동,제과점,0,2,0,3.3,1,2,1.7,3.3,2,2,3.3,3.3,5,2,7.9,3.2,0,1,0,1.6
종로5·6가동,제과점,1,0,10,0,0,0,0,0,0,1,0,11.1,0,0,0,0,0,0,0,0
이화동,제과점,1,0,3.6,0,1,0,3.4,0,1,0,3.3,0,1,6,4,24,1,1,4,4
혜화동,제과점,1,0,5.9,0,2,0,10.5,0,1,3,5.9,17.6,1,0,5.6,0,1,0,5.3,0
창신1동,제과점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
창신2동,제과점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
창신3동,제과점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
숭인1동,제과점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
숭인2동,제과점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
소공동,제과점,0,0,0,0,1,0,2.2,0,0,0,0,0,0,0,0,0,0,1,0,2.2
회현동,제과점,1,4,2.7,10.8,0,2,0,5.7,0,0,0,0,1,0,2.8,0,0,0,0,0
명동,제과점,1,2,2.4,4.8,1,0,2.3,0,1,0,2.3,0,1,0,2.2,0,0,0,0,0
필동,제과점,1,1,7.7,7.7,0,1,0,8.3,0,1,0,9.1,0,0,0,0,0,0,0,0
장충동,제과점,0,1,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광희동,제과점,0,0,0,0,0,1,0,2.9,1,0,2.8,0,0,0,0,0,0,0,0,0
을지로동,제과점,0,0,0,0,0,1,0,6.3,0,1,0,6.7,2,1,12.5,6.3,0,0,0,0
신당동,제과점,0,0,0,0,0,1,0,14.3,1,0,12.5,0,1,1,12.5,12.5,0,0,0,0
다산동,제과점,0,1,0,11.1,0,0,0,0,1,0,10,0,0,0,0,0,0,1,0,11.1
약수동,제과점,0,0,0,0,0,0,0,0,1,0,12.5,0,0,0,0,0,0,0,0,0
청구동,제과점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신당5동,제과점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,20
동화동,제과점,0,0,0,0,0,1,0,33.3,2,0,40,0,1,0,16.7,0,0,0,0,0
황학동,제과점,0,0,0,0,2,2,50,50,0,0,0,0,1,0,20,0,0,1,0,25
중림동,제과점,0,0,0,0,1,0,11.1,0,0,2,0,28.6,0,0,0,0,0,0,0,0
