행정구역,22-1 전체,22-1 1층,22-1 1층 외,22-2 전체,22-2 1층,22-2 1층 외,22-3 전체,22-3 1층,22-3 1층 외,22-4 전체,22-4 1층,22-4 1층 외,23-1 전체,23-1 1층,23-1 1층 외
청운효자동,"129,755","181,103","78,407","147,878","212,258","83,498","142,725","195,183","90,268","155,797","224,849","86,744","151,256","225,252","77,260"
사직동,"145,664","185,390","105,938","162,108","217,048","107,167","166,024","228,857","103,192","173,553","246,659","100,447","150,227","209,365","91,088"
삼청동,"175,042","185,890","164,194","161,693","180,283","143,103","157,572","194,483","120,661","168,139","200,614","135,664","190,228","226,225","154,231"
부암동,"88,340","94,506","82,173","74,155","93,432","54,879","93,334","118,701","67,967","99,441","122,603","76,278","107,082","107,082",
평창동,"92,288","115,285","69,292","110,528","148,983","72,074","111,164","123,164","99,164","121,969","132,186","111,752","116,535",,"116,535"
무악동,"105,457","114,202","96,713","249,448","249,448",,"163,768","237,267","90,270",,,,,,
교남동,"206,719","218,421","195,017","203,425","244,185","162,665","217,880","288,201","147,558","200,555","285,647","115,463","101,769",,"101,769"
가회동,"142,922","202,364","83,480","133,865","189,990","77,740","147,693","202,463","92,922","142,796","197,115","88,478","147,750","182,265","113,234"
종로1·2·3·4가동,"193,808","253,334","134,283","201,789","259,160","144,418","206,819","263,752","149,885","192,001","244,442","139,559","187,156","245,914","128,398"
종로5·6가동,"261,380","258,320","264,440","299,121","283,696","314,545","297,056","272,298","321,813","281,017","263,403","298,631","286,159","280,661","291,657"
이화동,"129,072","173,541","84,604","178,553","201,957","155,149","216,799","216,193","217,405","185,904","218,797","153,011","138,022","167,447","108,598"
혜화동,"127,588","165,956","89,220","147,355","168,585","126,126","172,307","209,059","135,555","179,990","217,056","142,923","166,815","197,809","135,821"
창신1동,"174,189","217,466","130,913","187,331","237,234","137,427","185,260","212,277","158,243","180,189","204,278","156,099","192,102","195,088","189,117"
창신2동,"95,290","126,835","63,746","104,308","111,575","97,041","124,606","102,045","147,167","101,909","85,444","118,373","130,739","158,077","103,402"
창신3동,"84,071","97,560","70,581","74,261","81,483","67,038","93,762","133,431","54,093",,,,,,
숭인1동,"96,699","123,120","70,277","93,260","117,991","68,528","141,933","207,813","76,054","126,031","193,281","58,780","133,449","198,071","68,827"
숭인2동,"130,864","159,250","102,478","136,750","169,093","104,407","127,581","165,726","89,436","124,208","156,963","91,452","127,058","140,199","113,917"
소공동,"179,033","209,985","148,081","205,770","264,612","146,929","200,817","235,279","166,354","226,786","227,217","226,356","249,449","245,179","253,720"
회현동,"316,406","363,294","269,518","300,115","321,253","278,978","290,821","325,712","255,929","312,795","363,503","262,087","317,236","374,465","260,007"
명동,"197,310","239,232","155,389","219,685","238,028","201,342","222,975","247,380","198,569","248,622","280,116","217,128","272,611","339,342","205,881"
필동,"141,332","182,888","99,777","166,904","212,668","121,140","186,579","241,322","131,836","189,434","246,019","132,848","188,615","217,191","160,040"
장충동,"114,721","128,740","100,703","141,175","168,493","113,857","164,927","200,026","129,829","159,633","186,078","133,189","162,044","172,182","151,907"
광희동,"200,530","228,967","172,092","210,655","247,041","174,268","242,253","254,007","230,500","256,764","266,033","247,495","274,698","289,119","260,277"
을지로동,"154,362","211,481","97,243","175,964","238,229","113,699","212,645","287,716","137,575","237,245","314,662","159,828","247,792","333,720","161,864"
신당동,"372,835","377,462","368,207","389,083","393,845","384,321","391,082","388,625","393,539","389,385","364,571","414,199","402,111","379,403","424,819"
다산동,"124,983","139,348","110,617","182,588","204,853","160,322","176,225","196,239","156,212","173,151","216,201","130,101","159,257","188,676","129,838"
약수동,"136,272","180,632","91,911","158,497","202,839","114,154","197,356","257,115","137,596","226,068","259,591","192,546","259,622","289,901","229,343"
청구동,"135,753","163,984","107,522","161,939","221,408","102,470","205,477","214,053","196,902","162,594","148,111","177,076","169,627","146,151","193,104"
신당5동,"127,217","151,840","102,594","150,670","187,317","114,023","201,600","182,568","220,633","216,182","198,469","233,894","216,762","198,470","235,055"
동화동,"121,965","128,587","115,344","169,338","142,329","196,348","189,873","167,952","211,794","207,380","203,451","211,309","202,762","224,049","181,475"
황학동,"128,055","150,076","106,035","120,619","144,120","97,118","160,136","157,397","162,876","202,525","170,345","234,705","197,748","213,971","181,525"
중림동,"144,207","149,100","139,315","168,538","195,949","141,127","189,361","218,137","160,584","236,190","237,860","234,520","307,678","348,453","266,902"
후암동,"104,824","130,815","78,834","94,503","123,687","65,319","111,490","145,327","77,653","103,329","132,707","73,952","116,868","159,727","74,009"
용산2가동,"100,452","125,990","74,914","95,160","105,013","85,306","99,789","100,801","98,776","103,104","118,008","88,201","105,556","114,104","97,007"
남영동,"120,741","119,400","122,082","193,635","161,532","225,738","173,996","155,886","192,106","157,798","146,560","169,035","149,415","154,205","144,626"
청파동,"111,102","130,973","91,231","103,149","128,682","77,615","113,473","140,804","86,141","109,518","143,390","75,647","108,114","145,368","70,860"
원효로1동,"105,927","124,827","87,028","110,292","128,035","92,549","116,500","147,461","85,539","105,836","137,568","74,105","109,022","132,813","85,231"
원효로2동,"99,817","104,042","95,593","113,690","99,577","127,803","112,101","101,422","122,779","126,612","112,274","140,949","101,529","94,360","108,698"
효창동,"102,735","118,462","87,009","87,821","113,461","62,181","107,854","143,283","72,425","103,055","145,356","60,754","117,586","177,630","57,542"
용문동,"118,237","143,893","92,581","112,523","151,847","73,199","139,712","159,761","119,663","136,639","174,587","98,691","130,456","157,005","103,907"
한강로동,"141,339","163,001","119,677","143,376","158,722","128,030","136,670","157,839","115,500","126,387","138,484","114,290","121,102","133,044","109,161"
이촌1동,"222,481","276,824","168,137","217,392","315,971","118,813","222,914","326,180","119,648","232,037","340,529","123,546","237,754","334,546","140,963"
이촌2동,"116,845","116,845",,"80,615","80,615",,"73,833","67,019","80,647","69,916","69,916",,"54,623","54,623",
이태원1동,"163,576","187,681","139,470","165,601","193,422","137,779","164,061","178,459","149,664","191,528","213,115","169,942","185,408","216,836","153,980"
이태원2동,"143,911","171,719","116,102","195,088","221,164","169,011","171,653","195,883","147,423","172,109","194,046","150,172","153,605","184,292","122,917"
한남동,"133,206","155,337","111,075","115,832","118,259","113,405","130,747","126,530","134,964","133,757","138,265","129,248","146,607","163,414","129,799"
서빙고동,"95,602","99,137","92,068","127,315","127,315",,"77,561","94,562","60,560","86,268","90,824","81,713","78,141","90,221","66,062"
보광동,"108,143","130,205","86,082","157,145","130,762","183,529","107,562","122,978","92,147","96,089","120,038","72,140","102,420","118,355","86,484"
왕십리2동,"112,733","147,085","78,381","131,024","174,785","87,264","134,666","150,569","118,764","148,569","170,351","126,788","181,907","220,673","143,141"
왕십리도선동,"131,595","160,513","102,676","130,851","174,996","86,706","153,294","185,537","121,050","188,720","198,129","179,311","203,824","197,800","209,848"
마장동,"112,213","143,574","80,852","123,090","169,017","77,164","151,073","188,076","114,069","158,177","188,552","127,802","170,732","202,929","138,535"
사근동,"146,898","178,030","115,766","144,014","178,792","109,235","151,523","196,078","106,968","224,797","218,127","231,466","320,184","290,173","350,194"
행당1동,"119,981","135,400","104,561","126,856","147,319","106,394","154,840","151,727","157,953","189,018","189,047","188,989","224,350","195,329","253,371"
행당2동,"149,490","182,949","116,031","139,321","191,117","87,526","191,267","208,025","174,509","200,487","187,565","213,408","211,680","171,728","251,632"
응봉동,"109,042","105,982","112,101","109,681","109,681",,"98,297","105,611","90,983","300,141",,"300,141","286,227",,"286,227"
금호1가동,"104,552","116,885","92,218","121,085","115,913","126,256","132,862","135,960","129,765","130,301","135,960","124,642","161,099","219,969","102,230"
금호2·3가동,"137,181","144,876","129,485","152,781","185,343","120,219","173,882","229,709","118,055","179,143","248,919","109,367","169,363","258,134","80,591"
